"marginalARRA","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,2320,0.868098159509202
"CRS",50,13055,0.84
"ERK",323,17964,0.897832817337461
"MNT",108,935,0.898148148148148
"MRO",138,0,1
"OSF",29,0,0.862068965517241
"HKL",110,0,0.954545454545455
"NET",6,0,1
"TWL",867,34274,0.882352941176471
"1978",124,224,0.991935483870968
"1979",102,363,0.754901960784314
"1980",271,5005,0.977859778597786
"1981",237,11213,0.869198312236287
"1982",249,17469,0.823293172690763
"Q1",162,986,0.907407407407407
"Q2",289,3980,0.830449826989619
"Q3",340,5255,0.944117647058824
"Q4",192,24053,0.875
