"marginalBRNZ","n","landing","coverage"
"BDG",9,0,0.333333333333333
"BRG",326,0,0.168711656441718
"CRS",50,0,0.04
"ERK",323,0,0.198142414860681
"MNT",108,0,0.259259259259259
"MRO",138,766,0.202898550724638
"OSF",29,0,0.206896551724138
"HKL",110,766,0.318181818181818
"NET",6,0,0
"TWL",867,0,0.174163783160323
"1978",124,0,0.120967741935484
"1979",102,766,0.294117647058824
"1980",271,0,0.107011070110701
"1981",237,0,0.248945147679325
"1982",249,0,0.21285140562249
"Q1",162,0,0.179012345679012
"Q2",289,0,0.173010380622837
"Q3",340,766,0.208823529411765
"Q4",192,0,0.1875
