margWDOW,n,landing,coverage
BDG,9,13218,0.888888888888889
BRG,326,635196,0.779141104294479
CRS,50,182129,0.68
ERK,323,15744399,0.74922600619195
MNT,108,570494,0.768518518518518
MRO,138,219593,0.811594202898551
OSF,29,788477,0.793103448275862
HKL,110,208182,0.818181818181818
NET,6,10917,0.666666666666667
TWL,867,17934407,0.763552479815456
1978,124,749148,0.782258064516129
1979,102,2751370,0.764705882352941
1980,271,10708990,0.712177121771218
1981,237,3288416,0.734177215189873
1982,249,655582,0.859437751004016
Q1,162,4011229,0.709876543209877
Q2,289,4284190,0.771626297577855
Q3,340,4756660,0.823529411764706
Q4,192,5101427,0.71875
