margCLPR,n,landing,coverage
BDG,9,160601,0.777777777777778
BRG,326,5460561,0.659509202453988
CRS,50,18822,0.84
ERK,323,1278213,0.739938080495356
MNT,108,1573782,0.740740740740741
MRO,138,841860,0.702898550724638
OSF,29,837157,0.724137931034483
HKL,110,597138,0.718181818181818
NET,6,0,1
TWL,867,9573858,0.710495963091119
1978,124,1172492,0.725806451612903
1979,102,2327247,0.529411764705882
1980,271,2560887,0.708487084870849
1981,237,2252765,0.793248945147679
1982,249,1857605,0.710843373493976
Q1,162,2134234,0.716049382716049
Q2,289,2254890,0.743944636678201
Q3,340,3183438,0.714705882352941
Q4,192,2598434,0.661458333333333
