"marginalDBRK","n","landing","coverage"
"BDG",9,0,1
"BRG",326,531408,0.950920245398773
"CRS",50,377839,0.9
"ERK",323,651570,0.869969040247678
"MNT",108,7679,1
"MRO",138,2352,1
"OSF",29,5802,1
"HKL",110,3589,0.990909090909091
"NET",6,0,1
"TWL",867,1573061,0.928489042675894
"1978",124,78910,0.919354838709677
"1979",102,233217,0.970588235294118
"1980",271,322036,0.952029520295203
"1981",237,619303,0.940928270042194
"1982",249,323184,0.907630522088353
"Q1",162,549140,0.95679012345679
"Q2",289,386369,0.916955017301038
"Q3",340,290371,0.955882352941177
"Q4",192,350770,0.911458333333333
