"marginalSLGR","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.487730061349693
"CRS",50,0,0.36
"ERK",323,1894,0.287925696594427
"MNT",108,0,0.37037037037037
"MRO",138,0,0.456521739130435
"OSF",29,0,0.379310344827586
"HKL",110,0,0.472727272727273
"NET",6,0,0.666666666666667
"TWL",867,1894,0.378316032295271
"1978",124,0,0.379032258064516
"1979",102,1894,0.392156862745098
"1980",271,0,0.542435424354244
"1981",237,0,0.265822784810127
"1982",249,0,0.349397590361446
"Q1",162,1894,0.41358024691358
"Q2",289,0,0.529411764705882
"Q3",340,0,0.302941176470588
"Q4",192,0,0.317708333333333
